
---------- Begin Simulation Statistics ----------
simSeconds                                   0.050812                       # Number of seconds simulated (Second)
simTicks                                  50811567594                       # Number of ticks simulated (Tick)
finalTick                                 50811567594                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     34.85                       # Real time elapsed on the host (Second)
hostTickRate                               1457977222                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     756672                       # Number of bytes of host memory used (Byte)
simInsts                                      6945980                       # Number of instructions simulated (Count)
simOps                                       11051652                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   199306                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     317113                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        121850283                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                              17.542562                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.057004                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        11508828                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    16545                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       12677552                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1498                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               473700                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1147153                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 219                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            73459919                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.172578                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.619246                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  66124607     90.01%     90.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   4337506      5.90%     95.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1462466      1.99%     97.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    968056      1.32%     99.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    404230      0.55%     99.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    105711      0.14%     99.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     37993      0.05%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     17287      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      2063      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              73459919                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    4341      8.48%      8.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      8.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      8.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      8.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      8.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      8.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      8.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      8.48% # attempts to use FU when none available (Count)
